gs_id	gene_id
ADRN	54982
ADRN	91860
MES	4016
MES	23022
MES	60559
ADRN	3746
ADRN	79733
MES	1635
ADRN	54478
MES	968
ADRN	482
MES	10749
ADRN	3609
MES	57153
MES	10053
ADRN	1032
MES	84962
MES	25938
ADRN	55320
ADRN	4901
MES	7011
MES	7905
MES	81533
MES	79651
MES	9459
ADRN	1028
ADRN	151648
MES	58986
ADRN	79948
ADRN	6861
ADRN	79057
MES	9754
ADRN	27112
MES	6303
MES	23677
MES	158747
MES	57572
ADRN	51295
MES	1264
ADRN	51337
MES	5819
MES	348
ADRN	10912
ADRN	1463
ADRN	547
ADRN	84705
MES	684
MES	376497
MES	79709
MES	51429
MES	83861
MES	81
MES	65975
MES	10095
ADRN	23149
ADRN	23025
MES	7837
MES	9518
MES	54858
MES	54795
ADRN	25830
ADRN	10439
MES	1289
ADRN	50632
ADRN	64793
MES	84929
MES	4861
MES	83667
MES	6249
MES	55337
ADRN	1786
ADRN	139728
ADRN	1852
ADRN	55422
MES	22927
MES	5638
MES	9590
MES	23345
MES	79465
ADRN	54869
ADRN	10882
ADRN	7700
ADRN	23199
ADRN	51659
MES	6451
ADRN	2161
MES	4772
MES	10487
ADRN	84440
MES	117248
ADRN	3748
MES	7376
ADRN	29893
ADRN	10266
MES	55107
ADRN	79412
MES	4814
MES	3597
ADRN	7153
MES	2330
MES	10401
ADRN	10742
ADRN	2643
MES	3958
ADRN	79173
ADRN	83546
MES	6737
ADRN	6538
MES	5468
ADRN	23225
MES	85363
MES	10346
MES	23167
MES	79781
ADRN	10267
MES	84674
ADRN	23108
ADRN	63979
ADRN	1644
MES	3691
MES	91107
MES	4147
MES	92154
ADRN	6616
ADRN	5111
MES	54453
ADRN	57127
ADRN	63827
ADRN	23208
ADRN	9633
ADRN	4678
MES	64900
ADRN	128434
MES	10955
MES	29958
MES	8546
MES	10207
ADRN	6860
MES	93611
MES	79363
MES	23281
ADRN	10208
ADRN	2835
ADRN	1131
ADRN	9911
ADRN	8900
MES	7223
MES	10631
ADRN	5983
MES	90627
MES	79710
ADRN	84707
ADRN	55859
MES	201266
ADRN	84787
ADRN	28992
MES	5920
ADRN	23037
ADRN	84700
MES	114904
ADRN	57180
MES	79572
MES	80195
MES	83857
MES	272
MES	9645
MES	22800
ADRN	56154
ADRN	79845
ADRN	78986
ADRN	145258
ADRN	57578
MES	4017
MES	8932
ADRN	891
MES	1022
MES	3656
MES	8553
MES	9695
ADRN	10100
ADRN	84722
MES	7482
MES	5738
MES	4853
ADRN	9398
MES	4803
MES	54407
ADRN	29841
ADRN	4613
MES	3572
MES	10468
ADRN	23418
ADRN	91768
MES	1794
MES	2012
ADRN	9363
MES	90853
ADRN	55143
ADRN	51361
MES	1573
ADRN	51444
ADRN	29015
MES	87769
MES	1284
MES	26578
MES	301
MES	1514
MES	23670
ADRN	23287
MES	9413
MES	8728
ADRN	4440
ADRN	6926
ADRN	84900
ADRN	92558
ADRN	1840
MES	948
MES	29969
ADRN	577
MES	3351
MES	4907
ADRN	112609
ADRN	2045
MES	79899
MES	967
ADRN	5630
ADRN	10024
ADRN	2583
ADRN	23017
ADRN	9700
MES	3855
ADRN	3178
ADRN	91
MES	10956
ADRN	9053
MES	8763
MES	8676
MES	7006
MES	26056
MES	8291
MES	2799
MES	1368
MES	79786
MES	9764
MES	29109
MES	92922
ADRN	2752
ADRN	85397
MES	6041
ADRN	57710
MES	116496
MES	3915
MES	3431
MES	55619
ADRN	57695
MES	3357
MES	5270
MES	64114
MES	80210
MES	55654
ADRN	50649
MES	23479
MES	10970
MES	55332
MES	84102
MES	2317
ADRN	79621
ADRN	26586
MES	55901
ADRN	79866
MES	4008
MES	3936
MES	79020
MES	64759
MES	10457
ADRN	85446
MES	58489
MES	10241
ADRN	10238
ADRN	83990
MES	11227
MES	3142
MES	64215
MES	25934
MES	27348
MES	9314
ADRN	9649
MES	64855
ADRN	7111
ADRN	6812
ADRN	7539
MES	1318
MES	7099
ADRN	84253
ADRN	5168
ADRN	79075
MES	4609
MES	4856
MES	90865
MES	7094
ADRN	84904
ADRN	347252
MES	116113
MES	63971
MES	2766
ADRN	10817
MES	9856
MES	55227
MES	8737
ADRN	347733
MES	10211
MES	8870
MES	7172
MES	255488
MES	132864
MES	7097
MES	84709
ADRN	408
MES	11309
MES	338699
MES	54843
MES	2615
MES	5547
ADRN	81796
MES	23213
MES	6386
MES	55601
MES	7225
MES	85016
MES	10413
MES	5519
ADRN	53826
MES	57569
MES	834
MES	58472
MES	7057
ADRN	51203
MES	22801
ADRN	57082
ADRN	56965
MES	54852
MES	55075
ADRN	106821730
ADRN	56924
MES	53905
ADRN	64220
ADRN	80031
MES	8412
MES	79739
MES	10964
MES	10561
ADRN	204962
MES	9635
ADRN	10669
ADRN	3795
MES	11117
ADRN	6496
ADRN	79172
ADRN	57159
ADRN	79847
MES	26509
MES	84171
ADRN	3832
ADRN	10579
MES	1847
ADRN	9585
MES	51196
MES	5950
MES	310
MES	22891
ADRN	80312
ADRN	1763
MES	84665
MES	316
MES	65061
MES	57520
MES	6744
ADRN	150864
MES	3685
MES	84925
MES	83666
MES	29766
MES	84888
MES	26035
ADRN	90525
MES	83478
MES	8916
MES	55008
MES	57575
ADRN	55345
MES	5593
MES	2250
MES	84803
MES	2247
ADRN	658
MES	8654
MES	27163
MES	55752
MES	80144
MES	950
MES	306
MES	839
ADRN	3033
MES	64116
MES	2201
MES	85352
ADRN	283358
MES	23710
ADRN	55605
ADRN	58516
MES	254013
MES	51279
ADRN	10219
MES	55080
MES	55089
MES	347902
ADRN	8499
MES	11010
MES	22822
MES	4060
ADRN	429
ADRN	283431
MES	114795
MES	113675
MES	51228
ADRN	84915
ADRN	121643
MES	283537
ADRN	90634
MES	23344
MES	283373
ADRN	122060
ADRN	84530
MES	10150
MES	55647
ADRN	64403
ADRN	161253
MES	643866
ADRN	4857
MES	161357
MES	122786
ADRN	57161
ADRN	6252
ADRN	83851
MES	145389
MES	8747
MES	27133
ADRN	85439
MES	122953
ADRN	122481
MES	10516
MES	122616
MES	7453
ADRN	11001
MES	2252
ADRN	85455
ADRN	7090
MES	92912
MES	7168
MES	3480
ADRN	80119
ADRN	170691
ADRN	5046
ADRN	80125
