"gene","PeakId","Annotation","Distance.to.TSS","log2FoldChange","padj","contrast"
"MAML2","Interval_88787","intron (ENSG00000184384, intron 1 of 4)",-12164,-0.00160142874904528,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88788","intron (ENSG00000184384, intron 1 of 4)",-8941,-0.00660180362320822,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88790","intron (ENSG00000184384, intron 1 of 4)",-2163,-0.00974713773493694,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88791","intron (ENSG00000184384, intron 1 of 4)",-1105,-0.0120744179499885,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88792","TTS (ENSG00000266192)",396,-0.00422312642010938,0.999984913578322,"24h_vs_control"
"MAML2","Interval_88793","promoter-TSS (ENSG00000184384)",1798,-0.0165800501206048,0.999984913578322,"24h_vs_control"
"NOTCH1","Interval_491600","TTS (ENSG00000148400)",11022,-0.0212224465482261,0.999984913578322,"24h_vs_control"
"NOTCH1","Interval_491605","promoter-TSS (ENSG00000148400)",6475,-0.00634884882816237,0.999984913578322,"24h_vs_control"
"NOTCH1","Interval_491618","promoter-TSS (ENSG00000265181)",-82,0.000531749467390198,0.999984913578322,"24h_vs_control"
"NOTCH1","Interval_491620","TTS (ENSG00000237886)",1529,0.0107637804905652,0.999984913578322,"24h_vs_control"
"NOTCH2","Interval_22355","exon (ENSG00000134250, exon 34 of 34)",-17639,-0.0006510206403472,NA,"24h_vs_control"
"NOTCH2","Interval_22367","intron (ENSG00000134250, intron 8 of 11)",-64397,0.00526655810412681,NA,"24h_vs_control"
"NOTCH2","Interval_22368","intron (ENSG00000134250, intron 8 of 11)",-65664,-0.00368340366227432,NA,"24h_vs_control"
"NOTCH2","Interval_22372","intron (ENSG00000134250, intron 5 of 14)",-79400,-0.00223902461058234,NA,"24h_vs_control"
"NOTCH2","Interval_22373","intron (ENSG00000134250, intron 1 of 11)",-81872,-0.00124536684883826,NA,"24h_vs_control"
"NOTCH2","Interval_22377","intron (ENSG00000134250, intron 1 of 13)",59053,-0.00648633009723187,NA,"24h_vs_control"
"MAML2","Interval_88684","TTS (ENSG00000184384)",14590,-0.00319879506294406,NA,"24h_vs_control"
"MAML2","Interval_88691","intron (ENSG00000184384, intron 1 of 3)",45222,0.00118260312138321,NA,"24h_vs_control"
"MAML2","Interval_88693","intron (ENSG00000184384, intron 1 of 3)",50472,-0.00830810081407738,NA,"24h_vs_control"
"MAML2","Interval_88701","intron (ENSG00000184384, intron 1 of 3)",-58090,0.00420365194334148,NA,"24h_vs_control"
"MAML2","Interval_88702","intron (ENSG00000184384, intron 1 of 3)",-57027,-0.00261199686418972,NA,"24h_vs_control"
"MAML2","Interval_88712","intron (ENSG00000184384, intron 1 of 3)",-11605,-0.00093576714722228,NA,"24h_vs_control"
"MAML2","Interval_88717","exon (ENSG00000184384, exon 2 of 5)",567,0.00397662181308533,NA,"24h_vs_control"
"MAML2","Interval_88725","intron (ENSG00000184384, intron 1 of 4)",-14167,0.00362075606838437,NA,"24h_vs_control"
"MAML2","Interval_88733","intron (ENSG00000184384, intron 1 of 4)",-39031,0.000142532800965529,NA,"24h_vs_control"
"MAML2","Interval_88749","intron (ENSG00000184384, intron 1 of 4)",-100668,0.00699585805169167,NA,"24h_vs_control"
"MAML2","Interval_88752","intron (ENSG00000184384, intron 1 of 4)",-111348,9.01564492323147e-05,NA,"24h_vs_control"
"MAML2","Interval_88753","intron (ENSG00000184384, intron 1 of 4)",-112061,-0.00295794064646154,NA,"24h_vs_control"
"MAML2","Interval_88763","intron (ENSG00000184384, intron 1 of 4)",-104426,0.0105627227093503,NA,"24h_vs_control"
"MAML2","Interval_88766","intron (ENSG00000184384, intron 1 of 4)",-87258,0.00109416373780307,NA,"24h_vs_control"
"MAML2","Interval_88783","intron (ENSG00000184384, intron 1 of 4)",-24361,-0.00857409263592724,NA,"24h_vs_control"
"MAML2","Interval_88785","intron (ENSG00000184384, intron 1 of 4)",-20632,0.0149749248590368,NA,"24h_vs_control"
"NOTCH1","Interval_491603","intron (ENSG00000148400, intron 26 of 33)",15730,-0.00298151469432259,NA,"24h_vs_control"
"NOTCH1","Interval_491611","intron (ENSG00000148400, intron 2 of 33)",-8239,-0.000485253393923443,NA,"24h_vs_control"
"NOTCH1","Interval_491614","intron (ENSG00000148400, intron 2 of 33)",-7742,0.00661244212611068,NA,"24h_vs_control"
"NOTCH1","Interval_491617","intron (ENSG00000148400, intron 2 of 33)",-5826,-0.000916401442895827,NA,"24h_vs_control"
